"material_id","source_path","file_name","extension","source_dir","sub_dir","title_guess","year_label","audience","knowledge_category","material_type","value_level","timeliness","is_template","is_duplicate","primary_reference","processing_action","notes"
"MAT-20260323-0001","数据库部分材料/数据库部分材料/学生手册.md","学生手册.md",".md","数据库部分材料","数据库部分材料","学生手册","长期","全体学生","待定","综合材料","A","现行","否","否","MAT-20260323-0001","提炼规则后入库","首批总底稿"
"MAT-20260323-0002","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025年学籍注册/附件1：教育在线学生信息与班级实际情况核对方法.doc","附件1：教育在线学生信息与班级实际情况核对方法.doc",".doc","2025年工作","2025下-25级新生工作","新生学籍注册核对方法","2025","新生","入学与学籍","流程说明","A","阶段性","否","否","MAT-20260323-0002","可转知识","首批学籍类核心材料"
"MAT-20260323-0003","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025年学籍注册/附件5：学信网学籍注册信息核对方法指南.doc","附件5：学信网学籍注册信息核对方法指南.doc",".doc","2025年工作","2025下-25级新生工作","学信网学籍注册信息核对方法指南","2025","新生","入学与学籍","操作手册","A","阶段性","否","否","MAT-20260323-0003","可转知识","可提炼登录与核对步骤"
"MAT-20260323-0004","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/9.10 2025级新生入学资格复查/通知.docx","通知.docx",".docx","2025年工作","2025下-25级新生工作","2025级新生入学资格复查通知","2025","新生","入学与学籍","通知","A","阶段性","否","否","MAT-20260323-0004","可转知识","与报到资格和复查流程直接相关"
"MAT-20260323-0005","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/通知.docx","通知.docx",".docx","2025年工作","2025下-25级新生工作","家庭经济困难认定与助学金评审通知","2025","新生","奖助贷补","通知","A","阶段性","否","否","MAT-20260323-0005","可转知识","奖助贷补主通知"
"MAT-20260323-0006","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/助学金评审一网通办操作说明.docx","助学金评审一网通办操作说明.docx",".docx","2025年工作","2025下-25级新生工作","助学金评审一网通办操作说明","2025","学生","奖助贷补","操作手册","A","阶段性","否","否","MAT-20260323-0006","可转知识","适合直接提炼学生端步骤"
"MAT-20260323-0007","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/附件2：一网通办系统学生申请操作说明.docx","附件2：一网通办系统学生申请操作说明.docx",".docx","2025年工作","2025下-25级新生工作","一网通办系统学生申请操作说明","2025","学生","奖助贷补","操作手册","B","阶段性","否","是","MAT-20260323-0006","提炼规则后入库","与MAT-20260323-0006近重复保留附件版供复核"
"MAT-20260323-0008","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/9.11 2025年秋季学期勤工助学通知/202503勤工助学岗位申报通知0905.docx","202503勤工助学岗位申报通知0905.docx",".docx","2025年工作","2025下-25级新生工作","秋季学期勤工助学岗位申报通知","2025","全体学生","奖助贷补","通知","A","阶段性","否","否","MAT-20260323-0008","可转知识","补齐勤工助学场景"
"MAT-20260323-0009","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025级心理测评/2025年新生心理测评材料/1.【通知】2025年中国大学生心理健康测评系统测评工作通知.pdf","1.【通知】2025年中国大学生心理健康测评系统测评工作通知.pdf",".pdf","2025年工作","2025下-25级新生工作","心理健康测评工作通知","2025","新生","心理与测评","通知","A","阶段性","否","否","MAT-20260323-0009","可转知识","心理测评主通知"
"MAT-20260323-0010","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025级心理测评/2025年新生心理测评材料/3.【学生】中国大学生心理健康测评系统操作手册.pdf","3.【学生】中国大学生心理健康测评系统操作手册.pdf",".pdf","2025年工作","2025下-25级新生工作","学生端心理测评操作手册","2025","学生","心理与测评","操作手册","A","阶段性","否","否","MAT-20260323-0010","可转知识","可直接生成操作类条目"
"MAT-20260323-0011","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025级心理测评/2025年新生心理测评材料/4.心理测评平台常见问题.pdf","4.心理测评平台常见问题.pdf",".pdf","2025年工作","2025下-25级新生工作","心理测评平台常见问题","2025","学生","心理与测评","流程说明","A","阶段性","否","否","MAT-20260323-0011","可转知识","FAQ价值高"
"MAT-20260323-0012","数据库部分材料/数据库部分材料/模板/校园卡补卡指南.pdf","校园卡补卡指南.pdf",".pdf","模板","","校园卡补卡指南","长期","全体学生","证件与校园服务","流程说明","A","现行","否","否","MAT-20260323-0012","可转知识","证件服务类优先项"
"MAT-20260323-0013","数据库部分材料/数据库部分材料/模板/山东第一医科大学（山东省医学科学院）“第二课堂成绩单”实施办法.pdf","山东第一医科大学（山东省医学科学院）“第二课堂成绩单”实施办法.pdf",".pdf","模板","","第二课堂成绩单实施办法","长期","全体学生","竞赛与第二课堂","制度","A","现行","否","否","MAT-20260323-0013","可转知识","稳定制度型材料"
"MAT-20260323-0014","数据库部分材料/数据库部分材料/模板/第二课堂激活/第二课堂录入操作流程.docx","第二课堂录入操作流程.docx",".docx","模板","","第二课堂录入操作流程","2025","学生","竞赛与第二课堂","操作手册","A","待确认","否","否","MAT-20260323-0014","可转知识","与制度配套的操作材料"
"MAT-20260323-0015","数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/2025届毕业离校通知.docx","2025届毕业离校通知.docx",".docx","2025年工作","2025上-21级毕业工作","2025届毕业离校通知","2025","毕业生","就业与毕业","通知","A","阶段性","否","否","MAT-20260323-0015","可转知识","毕业离校主流程"
"MAT-20260323-0016","数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/2024届普通本科毕业生毕业工作安排方案.pdf","2024届普通本科毕业生毕业工作安排方案.pdf",".pdf","2025年工作","2025上-21级毕业工作","普通本科毕业生毕业工作安排方案","2024","毕业生","就业与毕业","流程说明","C","过期","否","是","MAT-20260323-0015","过期归档","历史版本仅供流程参照不作主知识依据"
"MAT-20260323-0017","数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/毕业生的一封信.docx","毕业生的一封信.docx",".docx","2025年工作","2025上-21级毕业工作","毕业生的一封信","2025","毕业生","就业与毕业","综合材料","C","阶段性","否","否","MAT-20260323-0017","仅作附件","偏倡议与寄语内容避免误入主知识正文"
"MAT-20260323-0018","数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/毕业证和学位证代领委托书.docx","毕业证和学位证代领委托书.docx",".docx","2025年工作","2025上-21级毕业工作","毕业证和学位证代领委托书","2025","毕业生","就业与毕业","模板","A","阶段性","是","否","MAT-20260323-0018","提炼规则后入库","模板本身作附件规则另抽取"
"MAT-20260323-0019","数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/征兵政策/毕业生应征入伍政策解读.pdf","毕业生应征入伍政策解读.pdf",".pdf","2025年工作","2025上-21级毕业工作","毕业生应征入伍政策解读","2025","毕业生","就业与毕业","流程说明","B","阶段性","否","否","MAT-20260323-0019","提炼规则后入库","适合作为专题条目"
"MAT-20260323-0020","数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/档案去向核对/档案信息核对确认 注意事项.docx","档案信息核对确认 注意事项.docx",".docx","2025年工作","2025上-21级毕业工作","档案信息核对确认注意事项","2025","毕业生","就业与毕业","流程说明","A","阶段性","否","否","MAT-20260323-0020","可转知识","档案去向高频问题"
"MAT-20260323-0021","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/通知.docx","通知.docx",".docx","模板","","家庭经济困难认定工作通知模板包","2025","全体学生","奖助贷补","模板","B","待确认","是","是","MAT-20260323-0005","提炼规则后入库","模板包版本与执行版互校规则后留作附件"
"MAT-20260323-0022","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/助学金评审一网通办操作说明.docx","助学金评审一网通办操作说明.docx",".docx","模板","","助学金评审一网通办操作说明模板包","2025","学生","奖助贷补","模板","B","待确认","是","是","MAT-20260323-0006","提炼规则后入库","模板包版本与执行版互校规则后留作附件"
"MAT-20260324-0023","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/9.10 2025级新生入学资格复查/附件4入学资格审查和录取资格复查登记表（纸质版已收齐 备案）.docx","附件4入学资格审查和录取资格复查登记表（纸质版已收齐 备案）.docx",".docx","2025年工作","2025下-25级新生工作","附件4入学资格审查和录取资格复查登记表（纸质版已收齐 备案）","2025","新生","入学与学籍","模板","B","阶段性","否","否","MAT-20260324-0023","可转知识","第二批扩量自动筛选"
"MAT-20260324-0024","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/2025-2026学年国家助学金评审工作通知/附件3：（     学院）国家助学金申请表.docx","附件3：（     学院）国家助学金申请表.docx",".docx","2025年工作","2025下-25级新生工作","附件3：（     学院）国家助学金申请表","2025","新生","奖助贷补","模板","B","阶段性","否","否","MAT-20260324-0024","可转知识","第二批扩量自动筛选"
"MAT-20260324-0025","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/2025-2026学年国家助学金评审工作通知/附件4：本专科生国家助学金实施细则.docx","附件4：本专科生国家助学金实施细则.docx",".docx","2025年工作","2025下-25级新生工作","附件4：本专科生国家助学金实施细则","2025","新生","奖助贷补","制度","B","阶段性","否","否","MAT-20260324-0025","可转知识","第二批扩量自动筛选"
"MAT-20260324-0026","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/2025-2026学年国家助学金评审工作通知/关于做好2024-2025学年本科生国家助学金评选工作的通知.docx","关于做好2024-2025学年本科生国家助学金评选工作的通知.docx",".docx","2025年工作","2025下-25级新生工作","关于做好2024-2025学年本科生国家助学金评选工作的通知","2025","新生","奖助贷补","通知","B","阶段性","否","否","MAT-20260324-0026","可转知识","第二批扩量自动筛选"
"MAT-20260324-0027","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/附件/附件2：一网通办系统学生申请操作说明.docx","附件2：一网通办系统学生申请操作说明.docx",".docx","2025年工作","2025下-25级新生工作","附件2：一网通办系统学生申请操作说明","2025","新生","奖助贷补","操作手册","B","阶段性","否","否","MAT-20260324-0027","可转知识","第二批扩量自动筛选"
"MAT-20260324-0028","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/关于开展2025-2026学年家庭经济困难认定的通知.docx","关于开展2025-2026学年家庭经济困难认定的通知.docx",".docx","2025年工作","2025下-25级新生工作","关于开展2025-2026学年家庭经济困难认定的通知","2025","新生","奖助贷补","通知","B","阶段性","否","否","MAT-20260324-0028","可转知识","第二批扩量自动筛选"
"MAT-20260324-0029","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/学院、班级一网通办操作说明.docx","学院、班级一网通办操作说明.docx",".docx","2025年工作","2025下-25级新生工作","学院、班级一网通办操作说明","2025","新生","奖助贷补","操作手册","B","阶段性","否","否","MAT-20260324-0029","可转知识","第二批扩量自动筛选"
