"material_id","source_path","extension","status","output_main","output_detail","error_type","error_message","converted_at"
"MAT-20260323-0001","数据库部分材料/数据库部分材料/学生手册.md",".md","success","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260323-0001__学生手册.md","","","","2026-03-23 20:10:44"
"MAT-20260323-0002","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025年学籍注册/附件1：教育在线学生信息与班级实际情况核对方法.doc",".doc","success","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260323-0002__附件1：教育在线学生信息与班级实际情况核对方法.md","ASCII temp path + Wordconv.exe -> docx + pandoc","","","2026-03-23 23:00:24"
"MAT-20260323-0003","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025年学籍注册/附件5：学信网学籍注册信息核对方法指南.doc",".doc","success","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260323-0003__附件5：学信网学籍注册信息核对方法指南.md","ASCII temp path + Wordconv.exe -> docx + pandoc","","","2026-03-23 23:00:24"
"MAT-20260323-0004","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/9.10 2025级新生入学资格复查/通知.docx",".docx","success","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260323-0004__通知.md","","","","2026-03-23 20:10:45"
"MAT-20260323-0005","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/通知.docx",".docx","success","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260323-0005__通知.md","","","","2026-03-23 20:10:45"
"MAT-20260323-0006","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/助学金评审一网通办操作说明.docx",".docx","success","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260323-0006__助学金评审一网通办操作说明.md","","","","2026-03-23 20:10:45"
"MAT-20260323-0007","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/附件2：一网通办系统学生申请操作说明.docx",".docx","success","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260323-0007__附件2：一网通办系统学生申请操作说明.md","","","","2026-03-23 20:10:45"
"MAT-20260323-0008","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/9.11 2025年秋季学期勤工助学通知/202503勤工助学岗位申报通知0905.docx",".docx","success","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260323-0008__202503勤工助学岗位申报通知0905.md","","","","2026-03-23 20:10:45"
"MAT-20260323-0009","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025级心理测评/2025年新生心理测评材料/1.【通知】2025年中国大学生心理健康测评系统测评工作通知.pdf",".pdf","success","knowledge-base\raw\first-batch-processing\converted\pdf\MAT-20260323-0009","","","","2026-03-23 20:10:45"
"MAT-20260323-0010","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025级心理测评/2025年新生心理测评材料/3.【学生】中国大学生心理健康测评系统操作手册.pdf",".pdf","success","knowledge-base\raw\first-batch-processing\converted\pdf\MAT-20260323-0010","","","","2026-03-23 20:11:02"
"MAT-20260323-0011","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025级心理测评/2025年新生心理测评材料/4.心理测评平台常见问题.pdf",".pdf","success","knowledge-base\raw\first-batch-processing\converted\pdf\MAT-20260323-0011","","","","2026-03-23 20:11:35"
"MAT-20260323-0012","数据库部分材料/数据库部分材料/模板/校园卡补卡指南.pdf",".pdf","success","knowledge-base\raw\first-batch-processing\converted\pdf\MAT-20260323-0012","","","","2026-03-23 20:12:29"
