"batch_id","queue_seq","source_type","material_id","source_path","file_name","extension","knowledge_category","processing_action","value_level","timeliness","title_guess","audience","kb_draft_id","rule_task_id","status"
"BATCH-A1","1","batch2-materials","MAT-20260324-0024","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/2025-2026学年国家助学金评审工作通知/附件3：（     学院）国家助学金申请表.docx","附件3：（     学院）国家助学金申请表.docx",".docx","奖助贷补","可转知识","B","阶段性","附件3：（     学院）国家助学金申请表","新生","KB-20260324-0124","","completed"
"BATCH-A1","2","batch2-materials","MAT-20260324-0025","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/2025-2026学年国家助学金评审工作通知/附件4：本专科生国家助学金实施细则.docx","附件4：本专科生国家助学金实施细则.docx",".docx","奖助贷补","可转知识","B","阶段性","附件4：本专科生国家助学金实施细则","新生","KB-20260324-0125","","completed"
"BATCH-A1","3","batch2-materials","MAT-20260324-0026","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/2025-2026学年国家助学金评审工作通知/关于做好2024-2025学年本科生国家助学金评选工作的通知.docx","关于做好2024-2025学年本科生国家助学金评选工作的通知.docx",".docx","奖助贷补","可转知识","B","阶段性","关于做好2024-2025学年本科生国家助学金评选工作的通知","新生","KB-20260324-0126","","completed"
"BATCH-A1","4","batch2-materials","MAT-20260324-0027","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/附件/附件2：一网通办系统学生申请操作说明.docx","附件2：一网通办系统学生申请操作说明.docx",".docx","奖助贷补","可转知识","B","阶段性","附件2：一网通办系统学生申请操作说明","新生","KB-20260324-0127","","completed"
"BATCH-A1","5","batch2-materials","MAT-20260324-0028","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/关于开展2025-2026学年家庭经济困难认定的通知.docx","关于开展2025-2026学年家庭经济困难认定的通知.docx",".docx","奖助贷补","可转知识","B","阶段性","关于开展2025-2026学年家庭经济困难认定的通知","新生","KB-20260324-0128","","completed"
"BATCH-A1","6","batch2-materials","MAT-20260324-0029","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/学院、班级一网通办操作说明.docx","学院、班级一网通办操作说明.docx",".docx","奖助贷补","可转知识","B","阶段性","学院、班级一网通办操作说明","新生","KB-20260324-0129","","completed"
"BATCH-A1","R1","batch2-materials","MAT-20260324-0030","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年本科生省政府奖学金评选工作的通知/附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则.docx","附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则.docx",".docx","奖助贷补","提炼规则后入库","B","待确认","附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则","全体学生","","RULE-A1-001","completed"
"BATCH-A1","R2","batch2-materials","MAT-20260324-0031","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年本科生省政府奖学金评选工作的通知/关于做好2024-2025学年本科生省政府奖学金评选工作的通知.docx","关于做好2024-2025学年本科生省政府奖学金评选工作的通知.docx",".docx","奖助贷补","提炼规则后入库","B","待确认","关于做好2024-2025学年本科生省政府奖学金评选工作的通知","全体学生","","RULE-A1-002","completed"
"BATCH-A1","R3","batch2-materials","MAT-20260324-0032","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年国家奖学金评选通知/附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则.docx","附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则.docx",".docx","奖助贷补","提炼规则后入库","B","待确认","附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则","全体学生","","RULE-A1-003","completed"
"BATCH-A1","R4","batch2-materials","MAT-20260324-0033","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年国家奖学金评选通知/关于做好2024-2025学年本科生国家奖学金评选工作的通知.docx","关于做好2024-2025学年本科生国家奖学金评选工作的通知.docx",".docx","奖助贷补","提炼规则后入库","B","待确认","关于做好2024-2025学年本科生国家奖学金评选工作的通知","全体学生","","RULE-A1-004","completed"
"BATCH-A1","R5","batch2-materials","MAT-20260324-0034","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年励志奖学金评审通知/2024-2025学年本科生国家励志奖学金、省政府励志奖学金评审工作的通知.docx","2024-2025学年本科生国家励志奖学金、省政府励志奖学金评审工作的通知.docx",".docx","奖助贷补","提炼规则后入库","B","待确认","2024-2025学年本科生国家励志奖学金、省政府励志奖学金评审工作的通知","全体学生","","RULE-A1-005","completed"
"BATCH-A1","R6","batch2-materials","MAT-20260324-0035","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年励志奖学金评审通知/励志奖学金审核要点.docx","励志奖学金审核要点.docx",".docx","奖助贷补","提炼规则后入库","B","待确认","励志奖学金审核要点","全体学生","","RULE-A1-006","completed"
"BATCH-A1","R7","batch2-materials","MAT-20260324-0036","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/2025-2026学年国家助学金评审工作通知/附件3：（     学院）国家助学金申请表.docx","附件3：（     学院）国家助学金申请表.docx",".docx","奖助贷补","提炼规则后入库","B","待确认","附件3：（     学院）国家助学金申请表","全体学生","","RULE-A1-007","completed"
"BATCH-A1","R8","batch2-materials","MAT-20260324-0037","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/2025-2026学年国家助学金评审工作通知/附件4：本专科生国家助学金实施细则.docx","附件4：本专科生国家助学金实施细则.docx",".docx","奖助贷补","提炼规则后入库","B","待确认","附件4：本专科生国家助学金实施细则","全体学生","","RULE-A1-008","completed"
"BATCH-A1","R9","batch2-materials","MAT-20260324-0038","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/2025-2026学年国家助学金评审工作通知/关于做好2024-2025学年本科生国家助学金评选工作的通知.docx","关于做好2024-2025学年本科生国家助学金评选工作的通知.docx",".docx","奖助贷补","提炼规则后入库","B","待确认","关于做好2024-2025学年本科生国家助学金评选工作的通知","全体学生","","RULE-A1-009","completed"
"BATCH-A1","R10","batch2-materials","MAT-20260324-0039","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/附件2：一网通办系统学生申请操作说明.docx","附件2：一网通办系统学生申请操作说明.docx",".docx","奖助贷补","提炼规则后入库","B","待确认","附件2：一网通办系统学生申请操作说明","学生","","RULE-A1-010","completed"
"BATCH-A1","R11","batch2-materials","MAT-20260324-0040","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/附件/附件2：一网通办系统学生申请操作说明.docx","附件2：一网通办系统学生申请操作说明.docx",".docx","奖助贷补","提炼规则后入库","B","待确认","附件2：一网通办系统学生申请操作说明","学生","","RULE-A1-011","completed"
"BATCH-A1","R12","batch2-materials","MAT-20260324-0041","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/关于开展2025-2026学年家庭经济困难认定的通知.docx","关于开展2025-2026学年家庭经济困难认定的通知.docx",".docx","奖助贷补","提炼规则后入库","B","待确认","关于开展2025-2026学年家庭经济困难认定的通知","全体学生","","RULE-A1-012","completed"
"BATCH-A1","R13","batch2-materials","MAT-20260324-0042","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/学院、班级一网通办操作说明.docx","学院、班级一网通办操作说明.docx",".docx","奖助贷补","提炼规则后入库","B","待确认","学院、班级一网通办操作说明","全体学生","","RULE-A1-013","completed"
"BATCH-A1","R14","batch2-materials","MAT-20260324-0043","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025校级奖学金/关于评选2024-2025学年校级综合奖学金的通知.docx","关于评选2024-2025学年校级综合奖学金的通知.docx",".docx","奖助贷补","提炼规则后入库","B","待确认","关于评选2024-2025学年校级综合奖学金的通知","全体学生","","RULE-A1-014","completed"
"BATCH-A1","7","batch2-materials","MAT-20260324-0055","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025年 院级优秀评选/通知.docx","通知.docx",".docx","奖助贷补","可转知识","B","阶段性","通知","新生","KB-20260324-0130","","completed"
"BATCH-A1","R15","candidate-pool","","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/附件4：家庭经济困难学生认定工作报告模板（班级评议小组用）(1).doc","附件4：家庭经济困难学生认定工作报告模板（班级评议小组用）(1).doc",".doc","奖助贷补","提炼规则后入库","B","待确认","附件4：家庭经济困难学生认定工作报告模板（班级评议小组用）(1)","","","RULE-A1-015","completed"
"BATCH-A1","8","candidate-pool","","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/附件/附件1：山东省高等教育资助申请表.doc","附件1：山东省高等教育资助申请表.doc",".doc","奖助贷补","可转知识","B","阶段性","附件1：山东省高等教育资助申请表","","","","source_missing"
