material_id,source_path,file_name,extension,knowledge_category,value_level,timeliness,processing_action,target_kb_id,status,notes
MAT-20260324-0105,数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/2025届就业活动开展情况.doc,2025届就业活动开展情况.doc,.doc,就业与毕业,B,阶段性,可转知识,KB-20260324-0082,queued,就业活动汇总材料
MAT-20260324-0106,数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/2025年大学生志愿服务西部计划入选名单(公示).pdf,2025年大学生志愿服务西部计划入选名单(公示).pdf,.pdf,就业与毕业,B,阶段性,可转知识,KB-20260324-0083,queued,西部计划入选名单
MAT-20260324-0107,数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/毕业生登记表.docx,毕业生登记表.docx,.docx,就业与毕业,B,阶段性,可转知识,KB-20260324-0084,queued,毕业生登记模板
MAT-20260324-0108,数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/档案去向核对/档案转递/高校毕业生档案转递单功能操作手册.docx,高校毕业生档案转递单功能操作手册.docx,.docx,就业与毕业,B,阶段性,可转知识,KB-20260324-0085,queued,档案转递操作指南
MAT-20260324-0109,数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/档案去向核对/山东省人力资源和社会保障厅山东省教育厅关于做好2025届高校毕业生去向登记和就业数据监测工作的通知.pdf,山东省人力资源和社会保障厅山东省教育厅关于做好2025届高校毕业生去向登记和就业数据监测工作的通知.pdf,.pdf,就业与毕业,B,阶段性,可转知识,KB-20260324-0086,queued,去向登记与数据监测
MAT-20260324-0110,数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/就业活动通知/关于进一步做好离校前后校（院）2025届困难群体高校毕业生就业帮扶工作的通知.docx,关于进一步做好离校前后校（院）2025届困难群体高校毕业生就业帮扶工作的通知.docx,.docx,就业与毕业,B,阶段性,可转知识,KB-20260324-0087,queued,困难群体就业帮扶
MAT-20260324-0111,数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/就业活动通知/关于开展校（院）2025届毕业生就业"百日冲刺"行动的通知.docx,关于开展校（院）2025届毕业生就业"百日冲刺"行动的通知.docx,.docx,就业与毕业,B,阶段性,可转知识,KB-20260324-0088,queued,百日冲刺行动
MAT-20260324-0112,数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/就业活动通知/关于开展校（院）2025年毕业生就业政策宣传月活动的通知.docx,关于开展校（院）2025年毕业生就业政策宣传月活动的通知.docx,.docx,就业与毕业,B,阶段性,可转知识,KB-20260324-0089,queued,就业政策宣传月
MAT-20260324-0113,数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/优秀学生典型（胡冰涛、刘琳杰）/医药管理学院+胡冰涛.docx,医药管理学院+胡冰涛.docx,.docx,就业与毕业,B,阶段性,可转知识,KB-20260324-0090,queued,优秀毕业生典型
MAT-20260324-0114,数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/针对2024届毕业生就业举措(1).doc,针对2024届毕业生就业举措(1).doc,.doc,就业与毕业,D,过期,可转知识,KB-20260324-0091,queued,2024届就业举措[过期参考]
MAT-20260324-0115,数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/征兵政策/毕业生应征入伍政策解读.pdf2.pdf,毕业生应征入伍政策解读.pdf2.pdf,.pdf,就业与毕业,B,阶段性,可转知识,KB-20260324-0092,queued,毕业生征兵政策
MAT-20260324-0116,数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025级毕业生团关系转出/团员组织关系介绍信参考模板.doc,团员组织关系介绍信参考模板.doc,.doc,就业与毕业,B,待确认,提炼规则后入库,KB-REX-0001,queued,团关系介绍信模板
MAT-20260324-0117,数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025级毕业生团关系转出/智慧团建团支部转出步骤.docx,智慧团建团支部转出步骤.docx,.docx,就业与毕业,B,阶段性,可转知识,KB-20260324-0093,queued,智慧团建转出操作
MAT-20260324-0118,数据库部分材料/数据库部分材料/模板/出国留学英文证明模板终稿/9在读或预毕业证明中英文模板（外合部）.docx,9在读或预毕业证明中英文模板（外合部）.docx,.docx,就业与毕业,B,待确认,提炼规则后入库,KB-REX-0002,queued,在读/预毕业证明模板
MAT-20260324-0119,数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025级新生入学教育总结验收表.docx,2025级新生入学教育总结验收表.docx,.docx,入学与学籍,B,阶段性,可转知识,KB-20260324-0094,queued,新生入学教育验收
MAT-20260324-0120,数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025年学籍注册/附件2：XX学院2025-2026学年普通本科生在校情况报告.doc,附件2：XX学院2025-2026学年普通本科生在校情况报告.doc,.doc,入学与学籍,B,阶段性,可转知识,KB-20260324-0095,queued,在校情况报告模板
MAT-20260324-0121,数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025年学籍注册/附件3：XX学院2025级新生学籍注册报告.doc,附件3：XX学院2025级新生学籍注册报告.doc,.doc,入学与学籍,B,阶段性,可转知识,KB-20260324-0096,queued,新生学籍注册报告模板
MAT-20260324-0122,数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025年学籍注册/附件4：2025级新生学籍注册错误信息汇总报告(3).doc,附件4：2025级新生学籍注册错误信息汇总报告(3).doc,.doc,入学与学籍,B,阶段性,可转知识,KB-20260324-0097,queued,学籍注册错误汇总
