source_batch,material_id,old_kb_id,new_kb_id,action,reason
BATCH-A2,MAT-20260324-0105,KB-20260324-0061,KB-20260324-0082,rename,与A1冲突-原0061让与A1
BATCH-A2,MAT-20260324-0106,KB-20260324-0062,KB-20260324-0083,rename,与A1冲突-原0062让与A1
BATCH-A2,MAT-20260324-0107,KB-20260324-0063,KB-20260324-0084,rename,与A1冲突-原0063让与A1
BATCH-A2,MAT-20260324-0108,KB-20260324-0064,KB-20260324-0085,rename,与A1冲突-原0064让与A1
BATCH-A2,MAT-20260324-0109,KB-20260324-0065,KB-20260324-0086,rename,与A1冲突-原0065让与A1
BATCH-A2,MAT-20260324-0110,KB-20260324-0066,KB-20260324-0087,rename,与A1冲突-原0066让与A1
BATCH-A2,MAT-20260324-0111,KB-20260324-0067,KB-20260324-0088,rename,与A1冲突-原0067让与A1
BATCH-A2,MAT-20260324-0112,KB-20260324-0068,KB-20260324-0089,rename,与A1冲突-原0068让与A1
BATCH-A2,MAT-20260324-0113,KB-20260324-0069,KB-20260324-0090,rename,与A1冲突-原0069让与A1
BATCH-A2,MAT-20260324-0114,KB-20260324-0070,KB-20260324-0091,rename,与A1冲突-原0070让与A1
BATCH-A2,MAT-20260324-0115,KB-20260324-0071,KB-20260324-0092,rename,与A1冲突-原0071让与A1
BATCH-A2,MAT-20260324-0117,KB-20260324-0072,KB-20260324-0093,rename,与A1冲突-原0072让与A1
BATCH-A2,MAT-20260324-0119,KB-20260324-0073,KB-20260324-0094,rename,与A3冲突-A2优先占用0094起
BATCH-A2,MAT-20260324-0120,KB-20260324-0074,KB-20260324-0095,rename,与A3冲突-A2优先占用
BATCH-A2,MAT-20260324-0121,KB-20260324-0075,KB-20260324-0096,rename,与A3冲突-A2优先占用
BATCH-A2,MAT-20260324-0122,KB-20260324-0076,KB-20260324-0097,rename,与A3冲突-A2优先占用-版本合并待确认
BATCH-A2,MAT-20260324-0123,KB-20260324-0077,KB-20260324-0098,rename,与A3冲突-A2优先占用-版本合并待确认
BATCH-A2,MAT-20260324-0124,KB-20260324-0078,KB-20260324-0099,rename,与A3冲突-A2优先占用
BATCH-A2,MAT-20260324-0125,KB-20260324-0079,KB-20260324-0100,rename,与A3冲突-A2优先占用
BATCH-A2,MAT-20260324-0126,KB-20260324-0080,KB-20260324-0101,rename,A3策略从0105起-顺接0101
BATCH-A2,MAT-20260324-0127,KB-20260324-0081,KB-20260324-0102,rename,A3策略从0105起-顺接0102
