current_file_kb_id,current_material_id,current_owner_batch,target_batch,target_new_kb_id,action,decision_reason
KB-20260324-0061,MAT-20260324-0050,A3,BATCH-A3,KB-20260324-0105,rename,当前草稿material_id与A3队列一致，重命名为A3新编号
KB-20260324-0062,MAT-20260324-0051,A3,BATCH-A3,KB-20260324-0106,rename,当前草稿material_id与A3队列一致，重命名为A3新编号
KB-20260324-0063,MAT-20260324-0052,A3,BATCH-A3,KB-20260324-0107,rename,当前草稿material_id与A3队列一致，重命名为A3新编号
KB-20260324-0064,MAT-20260324-0053,A3,BATCH-A3,KB-20260324-0108,rename,当前草稿material_id与A3队列一致，重命名为A3新编号
KB-20260324-0065,MAT-20260324-0054,A3,BATCH-A3,KB-20260324-0109,rename,当前草稿material_id与A3队列一致，重命名为A3新编号
KB-20260324-0066,MAT-20260324-0056,A3,BATCH-A3,KB-20260324-0110,rename,当前草稿material_id与A3队列一致，重命名为A3新编号
KB-20260324-0067,MAT-20260324-0057,A3,BATCH-A3,KB-20260324-0111,rename,当前草稿material_id与A3队列一致，重命名为A3新编号
KB-20260324-0068,MAT-20260324-0058,A3,BATCH-A3,KB-20260324-0112,rename,当前草稿material_id与A3队列一致，重命名为A3新编号
KB-20260324-0069,MAT-20260324-0059,A3,BATCH-A3,KB-20260324-0113,rename,当前草稿material_id与A3队列一致，重命名为A3新编号
KB-20260324-0070,MAT-20260324-0060,A3,BATCH-A3,KB-20260324-0114,rename,当前草稿material_id与A3队列一致，重命名为A3新编号
KB-20260324-0071,MAT-20260324-0061,A3,BATCH-A3,KB-20260324-0115,rename,当前草稿material_id与A3队列一致，重命名为A3新编号
KB-20260324-0072,MAT-CP-001,A3,BATCH-A3,KB-20260324-0116,rename,当前草稿material_id与A3队列一致，重命名为A3新编号
KB-20260324-0073,MAT-CP-002,A3,BATCH-A3,KB-20260324-0117,rename,当前草稿material_id与A3队列一致，重命名为A3新编号
KB-20260324-0074,MAT-CP-003,A3,BATCH-A3,KB-20260324-0118,rename,当前草稿material_id与A3队列一致，重命名为A3新编号
KB-20260324-0075,MAT-CP-004,A3,BATCH-A3,KB-20260324-0119,rename,当前草稿material_id与A3队列一致，重命名为A3新编号
KB-20260324-0076,MAT-CP-005,A3,BATCH-A3,KB-20260324-0120,rename,当前草稿material_id与A3队列一致，重命名为A3新编号
KB-20260324-0077,MAT-CP-006,A3,BATCH-A3,KB-20260324-0121,rename,当前草稿material_id与A3队列一致，重命名为A3新编号
KB-20260324-0078,MAT-CP-007,A3,BATCH-A3,KB-20260324-0122,rename,当前草稿material_id与A3队列一致，重命名为A3新编号
KB-20260324-0079,MAT-CP-008,A3,BATCH-A3,KB-20260324-0123,rename,当前草稿material_id与A3队列一致，重命名为A3新编号
KB-20260324-0080,MAT-20260324-0126,A2,BATCH-A2,KB-20260324-0101,rename,当前草稿material_id与A2队列一致，重命名为A2新编号
KB-20260324-0081,MAT-20260324-0127,A2,BATCH-A2,KB-20260324-0102,rename,当前草稿material_id与A2队列一致，重命名为A2新编号
