material_id,source_path,title_guess,knowledge_category,audience,material_type,value_level,timeliness,is_template,is_duplicate,primary_reference,processing_action,cleaning_label,version_relation,conversion_status,annotation_reason
MAT-20260323-0001,数据库部分材料/数据库部分材料/学生手册.md,学生手册,待定,全体学生,综合材料,A,现行,否,否,MAT-20260323-0001,提炼规则后入库,提炼规则后入库,主参考或独立材料,success,价值分级=A；时效=现行；模板=否；重复=否
MAT-20260323-0002,数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025年学籍注册/附件1：教育在线学生信息与班级实际情况核对方法.doc,新生学籍注册核对方法,入学与学籍,新生,流程说明,A,阶段性,否,否,MAT-20260323-0002,可转知识,可转知识,主参考或独立材料,failed,价值分级=A；时效=阶段性；模板=否；重复=否；转换失败=COMException
MAT-20260323-0003,数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025年学籍注册/附件5：学信网学籍注册信息核对方法指南.doc,学信网学籍注册信息核对方法指南,入学与学籍,新生,操作手册,A,阶段性,否,否,MAT-20260323-0003,可转知识,可转知识,主参考或独立材料,failed,价值分级=A；时效=阶段性；模板=否；重复=否；转换失败=COMException
MAT-20260323-0004,数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/9.10 2025级新生入学资格复查/通知.docx,2025级新生入学资格复查通知,入学与学籍,新生,通知,A,阶段性,否,否,MAT-20260323-0004,可转知识,可转知识,主参考或独立材料,success,价值分级=A；时效=阶段性；模板=否；重复=否
MAT-20260323-0005,数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/通知.docx,家庭经济困难认定与助学金评审通知,奖助贷补,新生,通知,A,阶段性,否,否,MAT-20260323-0005,可转知识,可转知识,主参考或独立材料,success,价值分级=A；时效=阶段性；模板=否；重复=否
MAT-20260323-0006,数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/助学金评审一网通办操作说明.docx,助学金评审一网通办操作说明,奖助贷补,学生,操作手册,A,阶段性,否,否,MAT-20260323-0006,可转知识,可转知识,主参考或独立材料,success,价值分级=A；时效=阶段性；模板=否；重复=否
MAT-20260323-0007,数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/附件2：一网通办系统学生申请操作说明.docx,一网通办系统学生申请操作说明,奖助贷补,学生,操作手册,B,阶段性,否,是,MAT-20260323-0006,提炼规则后入库,提炼规则后入库,近重复版本,success,价值分级=B；时效=阶段性；模板=否；重复=是
MAT-20260323-0008,数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/9.11 2025年秋季学期勤工助学通知/202503勤工助学岗位申报通知0905.docx,秋季学期勤工助学岗位申报通知,奖助贷补,全体学生,通知,A,阶段性,否,否,MAT-20260323-0008,可转知识,可转知识,主参考或独立材料,success,价值分级=A；时效=阶段性；模板=否；重复=否
MAT-20260323-0009,数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025级心理测评/2025年新生心理测评材料/1.【通知】2025年中国大学生心理健康测评系统测评工作通知.pdf,心理健康测评工作通知,心理与测评,新生,通知,A,阶段性,否,否,MAT-20260323-0009,可转知识,可转知识,主参考或独立材料,success,价值分级=A；时效=阶段性；模板=否；重复=否
MAT-20260323-0010,数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025级心理测评/2025年新生心理测评材料/3.【学生】中国大学生心理健康测评系统操作手册.pdf,学生端心理测评操作手册,心理与测评,学生,操作手册,A,阶段性,否,否,MAT-20260323-0010,可转知识,可转知识,主参考或独立材料,success,价值分级=A；时效=阶段性；模板=否；重复=否
MAT-20260323-0011,数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025级心理测评/2025年新生心理测评材料/4.心理测评平台常见问题.pdf,心理测评平台常见问题,心理与测评,学生,流程说明,A,阶段性,否,否,MAT-20260323-0011,可转知识,可转知识,主参考或独立材料,success,价值分级=A；时效=阶段性；模板=否；重复=否
MAT-20260323-0012,数据库部分材料/数据库部分材料/模板/校园卡补卡指南.pdf,校园卡补卡指南,证件与校园服务,全体学生,流程说明,A,现行,否,否,MAT-20260323-0012,可转知识,可转知识,主参考或独立材料,success,价值分级=A；时效=现行；模板=否；重复=否
MAT-20260323-0013,数据库部分材料/数据库部分材料/模板/山东第一医科大学（山东省医学科学院）“第二课堂成绩单”实施办法.pdf,第二课堂成绩单实施办法,竞赛与第二课堂,全体学生,制度,A,现行,否,否,MAT-20260323-0013,可转知识,可转知识,主参考或独立材料,success,价值分级=A；时效=现行；模板=否；重复=否
MAT-20260323-0014,数据库部分材料/数据库部分材料/模板/第二课堂激活/第二课堂录入操作流程.docx,第二课堂录入操作流程,竞赛与第二课堂,学生,操作手册,A,待确认,否,否,MAT-20260323-0014,可转知识,可转知识,主参考或独立材料,success,价值分级=A；时效=待确认；模板=否；重复=否
MAT-20260323-0015,数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/2025届毕业离校通知.docx,2025届毕业离校通知,就业与毕业,毕业生,通知,A,阶段性,否,否,MAT-20260323-0015,可转知识,可转知识,主参考或独立材料,success,价值分级=A；时效=阶段性；模板=否；重复=否
MAT-20260323-0016,数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/2024届普通本科毕业生毕业工作安排方案.pdf,普通本科毕业生毕业工作安排方案,就业与毕业,毕业生,流程说明,C,过期,否,是,MAT-20260323-0015,过期归档,过期归档,历史版本,success,价值分级=C；时效=过期；模板=否；重复=是
