"material_id","source_path","file_name","extension","source_dir","sub_dir","title_guess","year_label","audience","knowledge_category","material_type","value_level","timeliness","is_template","is_duplicate","primary_reference","processing_action","notes"
"MAT-20260324-0023","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/9.10 2025级新生入学资格复查/附件4入学资格审查和录取资格复查登记表（纸质版已收齐 备案）.docx","附件4入学资格审查和录取资格复查登记表（纸质版已收齐 备案）.docx",".docx","2025年工作","2025下-25级新生工作","附件4入学资格审查和录取资格复查登记表（纸质版已收齐 备案）","2025","新生","入学与学籍","模板","B","阶段性","否","否","MAT-20260324-0023","可转知识","第二批扩量自动筛选"
"MAT-20260324-0024","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/2025-2026学年国家助学金评审工作通知/附件3：（     学院）国家助学金申请表.docx","附件3：（     学院）国家助学金申请表.docx",".docx","2025年工作","2025下-25级新生工作","附件3：（     学院）国家助学金申请表","2025","新生","奖助贷补","模板","B","阶段性","否","否","MAT-20260324-0024","可转知识","第二批扩量自动筛选"
"MAT-20260324-0025","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/2025-2026学年国家助学金评审工作通知/附件4：本专科生国家助学金实施细则.docx","附件4：本专科生国家助学金实施细则.docx",".docx","2025年工作","2025下-25级新生工作","附件4：本专科生国家助学金实施细则","2025","新生","奖助贷补","制度","B","阶段性","否","否","MAT-20260324-0025","可转知识","第二批扩量自动筛选"
"MAT-20260324-0026","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/2025-2026学年国家助学金评审工作通知/关于做好2024-2025学年本科生国家助学金评选工作的通知.docx","关于做好2024-2025学年本科生国家助学金评选工作的通知.docx",".docx","2025年工作","2025下-25级新生工作","关于做好2024-2025学年本科生国家助学金评选工作的通知","2025","新生","奖助贷补","通知","B","阶段性","否","否","MAT-20260324-0026","可转知识","第二批扩量自动筛选"
"MAT-20260324-0027","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/附件/附件2：一网通办系统学生申请操作说明.docx","附件2：一网通办系统学生申请操作说明.docx",".docx","2025年工作","2025下-25级新生工作","附件2：一网通办系统学生申请操作说明","2025","新生","奖助贷补","操作手册","B","阶段性","否","否","MAT-20260324-0027","可转知识","第二批扩量自动筛选"
"MAT-20260324-0028","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/关于开展2025-2026学年家庭经济困难认定的通知.docx","关于开展2025-2026学年家庭经济困难认定的通知.docx",".docx","2025年工作","2025下-25级新生工作","关于开展2025-2026学年家庭经济困难认定的通知","2025","新生","奖助贷补","通知","B","阶段性","否","否","MAT-20260324-0028","可转知识","第二批扩量自动筛选"
"MAT-20260324-0029","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/学院、班级一网通办操作说明.docx","学院、班级一网通办操作说明.docx",".docx","2025年工作","2025下-25级新生工作","学院、班级一网通办操作说明","2025","新生","奖助贷补","操作手册","B","阶段性","否","否","MAT-20260324-0029","可转知识","第二批扩量自动筛选"
"MAT-20260324-0030","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年本科生省政府奖学金评选工作的通知/附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则.docx","附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则.docx",".docx","模板","","附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则","2025","全体学生","奖助贷补","制度","B","待确认","是","否","MAT-20260324-0030","提炼规则后入库","第二批扩量自动筛选"
"MAT-20260324-0031","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年本科生省政府奖学金评选工作的通知/关于做好2024-2025学年本科生省政府奖学金评选工作的通知.docx","关于做好2024-2025学年本科生省政府奖学金评选工作的通知.docx",".docx","模板","","关于做好2024-2025学年本科生省政府奖学金评选工作的通知","2025","全体学生","奖助贷补","通知","B","待确认","是","否","MAT-20260324-0031","提炼规则后入库","第二批扩量自动筛选"
"MAT-20260324-0032","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年国家奖学金评选通知/附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则.docx","附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则.docx",".docx","模板","","附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则","2025","全体学生","奖助贷补","制度","B","待确认","是","否","MAT-20260324-0032","提炼规则后入库","第二批扩量自动筛选"
