"source_path","file_name","extension","title_guess","knowledge_category","value_level","timeliness","processing_action"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/1.12HRU复盘会议方案.docx","1.12HRU复盘会议方案.docx",".docx","1.12HRU复盘会议方案","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/1.7医药管理学院召开专题会议  传达校（院）安全工作会议精神2.docx","1.7医药管理学院召开专题会议  传达校（院）安全工作会议精神2.docx",".docx","1.7医药管理学院召开专题会议  传达校（院）安全工作会议精神2","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2024-2025学年校级优秀评选/附件1：山东第一医科大学（山东省医学科学院）学生先进个人和先进集体评选办法.pdf","附件1：山东第一医科大学（山东省医学科学院）学生先进个人和先进集体评选办法.pdf",".pdf","附件1：山东第一医科大学（山东省医学科学院）学生先进个人和先进集体评选办法","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2024-2025学年校级优秀评选/关于评选2024-2025学年校级优秀学生等荣誉称号的通知(1).pdf","关于评选2024-2025学年校级优秀学生等荣誉称号的通知(1).pdf",".pdf","关于评选2024-2025学年校级优秀学生等荣誉称号的通知(1)","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025国庆、中秋假期学生安全教育管理工作/关于做好2025年国庆节、中秋节假期学生安全教育管理工作的通知.pdf","关于做好2025年国庆节、中秋节假期学生安全教育管理工作的通知.pdf",".pdf","关于做好2025年国庆节、中秋节假期学生安全教育管理工作的通知","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025年 院级优秀评选/关于开展2024-2025学年山东第一医科大学医药管理学院优秀学生等荣誉称号评选活动的通知.pdf","关于开展2024-2025学年山东第一医科大学医药管理学院优秀学生等荣誉称号评选活动的通知.pdf",".pdf","关于开展2024-2025学年山东第一医科大学医药管理学院优秀学生等荣誉称号评选活动的通知","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025年 院级优秀评选/通知.docx","通知.docx",".docx","通知","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025年“11.9消防宣传月”培训演练活动方案(1)(1).docx","2025年“11.9消防宣传月”培训演练活动方案(1)(1).docx",".docx","2025年“11.9消防宣传月”培训演练活动方案(1)(1)","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025年秋季学期泰安校区2024级、2025级学生体质健康测试通知材料/2025年度泰安校区2024级、2025级本科学生体质健康测试通知.doc","2025年度泰安校区2024级、2025级本科学生体质健康测试通知.doc",".doc","2025年度泰安校区2024级、2025级本科学生体质健康测试通知","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025年秋季学期泰安校区2024级、2025级学生体质健康测试通知材料/附件4：各学院带队教师及志愿者信息表.doc","附件4：各学院带队教师及志愿者信息表.doc",".doc","附件4：各学院带队教师及志愿者信息表","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025年秋季学期泰安校区2024级、2025级学生体质健康测试通知材料/附件5：体质健康测试承诺书.docx","附件5：体质健康测试承诺书.docx",".docx","附件5：体质健康测试承诺书","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025年迎新工作材料汇编-校（院）.doc","2025年迎新工作材料汇编-校（院）.doc",".doc","2025年迎新工作材料汇编-校（院）","待定","B","阶段性","可转知识"
"数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025外研社比赛/2025 外研社校赛通知（总）.docx","2025 外研社校赛通知（总）.docx",".docx","2025 外研社校赛通知（总）","待定","B","阶段性","可转知识"
