entry_id,file,title,page_start,page_end,match_score,match_snippet,match_failed
KB-0150,KB-0150-电费缴纳指南.md,电费缴纳指南,0,0,0,,True
KB-0151,KB-0151-宿舍报修流程.md,宿舍报修流程,0,0,0,,True
KB-0152,KB-0152-校园卡办理与使用.md,校园卡办理与使用指南,0,0,0,,True
KB-0153,KB-0153-水电管理与节约.md,水电管理与节约要求,0,0,0,,True
KB-0154,KB-0154-学生公寓管理规定.md,学生公寓管理规定,0,0,0,,True
KB-0155,KB-0155-请假销假制度.md,学生请假销假制度,0,0,0,,True
KB-0156,KB-0156-奖学金评定指南.md,奖学金评定指南,17,27,1,"8.2,8.6",False
KB-0157,KB-0157-学生纪律处分规定.md,学生纪律处分规定,0,0,0,,True
KB-0158,KB-0158-图书馆使用指南.md,图书馆使用指南,79,90,1,10.4,False
KB-0159,KB-0159-学籍管理规定.md,学籍管理规定,0,0,0,,True
KB-0160,KB-0160-校园交通安全管理.md,校园交通安全管理,0,0,0,,True
KB-0161,KB-0161-勤工助学指南.md,勤工助学指南,28,31,1,8.7,False
KB-0162,KB-0162-困难认定与助学金申请.md,困难认定与助学金申请指南,32,40,1,8.8,False
KB-0163,KB-0163-助学贷款指南.md,助学贷款指南,41,43,1,8.9,False
KB-0164,KB-0164-学费缴纳指南.md,学费缴纳指南,66,67,1,10.1,False
KB-0165,KB-0165-考试纪律与违纪处理.md,考试纪律与违纪处理,0,0,0,,True
KB-0166,KB-0166-校外住宿管理规定.md,校外住宿管理规定,0,0,0,,True
KB-0167,KB-0167-心理健康教育与咨询.md,心理健康教育与咨询服务,54,80,1,"10.2,8.14",False
KB-0168,KB-0168-出国留学指南.md,出国留学指南,68,78,1,10.3,False
KB-0169,KB-0169-学生证件管理.md,学生证件管理,52,76,1,"8.13,8.17",False
KB-0170,KB-0170-食堂就餐公约.md,食堂就餐公约,0,0,0,,True
KB-0171,KB-0171-绿色通道与学费减免.md,绿色通道与学费减免,0,0,0,,True
KB-2026,KB-20260324-0138.md,校园卡补办流程,52,52,2,8.13校园卡补办流程,False
KB-2026,KB-20260324-0139.md,学生证补办流程,64,64,2,8.17学生证补办流程,False
KB-2026,KB-20260324-0140.md,学费住宿费缴费流程,66,66,2,10.1.1缴费流程事项,False
KB-2026,KB-20260324-0141.md,银行卡使用说明,67,67,2,10.1.2银行卡使用说明,False
KB-2026,KB-20260324-0142.md,心理咨询预约方式,68,68,2,10.2心理健康教育中心,False
KB-2026,KB-20260324-0143.md,图书馆座位预约规则,90,90,2,10.4.12座位预约规则,False
KB-2026,KB-20260324-0144.md,图书借阅规则,88,88,2,10.4.7图书借阅规则,False
KB-2026,KB-20260324-0145.md,勤工助学岗位申请指南,2,2,2,8.7勤工助学,False
KB-2026,KB-20260324-0146.md,家庭经济困难认定申请流程,2,2,2,8.8困难认定及助学金申请,False
KB-2026,KB-20260324-0147.md,基层就业毕业生学费补偿与助学贷款代偿,2,2,2,8.9助学贷款,False
KB-2026,KB-20260324-0148.md,学校各职能部门咨询电话,64,64,2,九.学校各职能部门咨询电话,False
KB-2026,KB-20260324-0149.md,心理测评参与方式,58,58,2,8.14.5心理测评,False
