"source_type","material_id","source_path","file_name","extension","knowledge_category","processing_action","value_level","timeliness","title_guess","audience","material_type","is_template"
"batch2-materials","MAT-20260324-0024","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/2025-2026学年国家助学金评审工作通知/附件3：（     学院）国家助学金申请表.docx","附件3：（     学院）国家助学金申请表.docx",".docx","奖助贷补","可转知识","B","阶段性","附件3：（     学院）国家助学金申请表","新生","模板","否"
"batch2-materials","MAT-20260324-0025","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/2025-2026学年国家助学金评审工作通知/附件4：本专科生国家助学金实施细则.docx","附件4：本专科生国家助学金实施细则.docx",".docx","奖助贷补","可转知识","B","阶段性","附件4：本专科生国家助学金实施细则","新生","制度","否"
"batch2-materials","MAT-20260324-0026","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/2025-2026学年国家助学金评审工作通知/关于做好2024-2025学年本科生国家助学金评选工作的通知.docx","关于做好2024-2025学年本科生国家助学金评选工作的通知.docx",".docx","奖助贷补","可转知识","B","阶段性","关于做好2024-2025学年本科生国家助学金评选工作的通知","新生","通知","否"
"batch2-materials","MAT-20260324-0027","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/附件/附件2：一网通办系统学生申请操作说明.docx","附件2：一网通办系统学生申请操作说明.docx",".docx","奖助贷补","可转知识","B","阶段性","附件2：一网通办系统学生申请操作说明","新生","操作手册","否"
"batch2-materials","MAT-20260324-0028","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/关于开展2025-2026学年家庭经济困难认定的通知.docx","关于开展2025-2026学年家庭经济困难认定的通知.docx",".docx","奖助贷补","可转知识","B","阶段性","关于开展2025-2026学年家庭经济困难认定的通知","新生","通知","否"
"batch2-materials","MAT-20260324-0029","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/学院、班级一网通办操作说明.docx","学院、班级一网通办操作说明.docx",".docx","奖助贷补","可转知识","B","阶段性","学院、班级一网通办操作说明","新生","操作手册","否"
"batch2-materials","MAT-20260324-0030","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年本科生省政府奖学金评选工作的通知/附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则.docx","附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则.docx",".docx","奖助贷补","提炼规则后入库","B","待确认","附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则","全体学生","制度","是"
"batch2-materials","MAT-20260324-0031","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年本科生省政府奖学金评选工作的通知/关于做好2024-2025学年本科生省政府奖学金评选工作的通知.docx","关于做好2024-2025学年本科生省政府奖学金评选工作的通知.docx",".docx","奖助贷补","提炼规则后入库","B","待确认","关于做好2024-2025学年本科生省政府奖学金评选工作的通知","全体学生","通知","是"
"batch2-materials","MAT-20260324-0032","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年国家奖学金评选通知/附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则.docx","附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则.docx",".docx","奖助贷补","提炼规则后入库","B","待确认","附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则","全体学生","制度","是"
"batch2-materials","MAT-20260324-0033","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年国家奖学金评选通知/关于做好2024-2025学年本科生国家奖学金评选工作的通知.docx","关于做好2024-2025学年本科生国家奖学金评选工作的通知.docx",".docx","奖助贷补","提炼规则后入库","B","待确认","关于做好2024-2025学年本科生国家奖学金评选工作的通知","全体学生","通知","是"
